STATEABBRV,EAL_SCORE,climate_risk_level
AL,75.0,High
AK,25.0,Low
AZ,37.5,Low
AR,58.92857142857143,Medium
CA,100.0,Very High
CO,53.57142857142857,Medium
CT,33.92857142857143,Low
DE,16.071428571428573,Very Low
DC,7.142857142857142,Very Low
FL,98.2142857142857,Very High
GA,82.14285714285715,Very High
HI,30.35714285714285,Low
ID,26.785714285714285,Low
IL,85.7142857142857,Very High
IN,50.0,Medium
IA,62.5,High
KS,46.42857142857143,Medium
KY,55.35714285714286,Medium
LA,92.85714285714286,Very High
ME,21.428571428571427,Very Low
MD,44.642857142857146,Medium
MA,39.285714285714285,Low
MI,60.7142857142857,Medium
MN,51.785714285714285,Medium
MS,71.42857142857143,High
MO,80.35714285714286,High
MT,23.214285714285715,Low
NE,42.85714285714285,Medium
NV,57.14285714285714,Medium
NH,17.857142857142858,Very Low
NJ,83.92857142857143,Very High
NM,28.57142857142857,Low
NY,76.78571428571429,High
NC,91.07142857142857,Very High
ND,32.142857142857146,Low
OH,48.21428571428572,Medium
OK,66.07142857142857,High
OR,78.57142857142857,High
PA,69.64285714285714,High
RI,12.5,Very Low
SC,87.5,Very High
SD,35.714285714285715,Low
TN,73.2142857142857,High
TX,96.42857142857144,Very High
UT,64.28571428571429,High
VT,5.357142857142857,Very Low
VA,67.85714285714286,High
WA,89.28571428571429,Very High
WV,19.642857142857142,Very Low
WI,41.07142857142857,Low
WY,14.285714285714285,Very Low
AS,1.785714285714286,Very Low
GU,8.928571428571429,Very Low
MP,3.571428571428571,Very Low
PR,94.64285714285714,Very High
VI,10.714285714285714,Very Low
